State,District,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,KURNOOL,2011,Rabi,27.830134748877093,27.81,79.7
Andhra Pradesh,KURNOOL,2012,Kharif,19.52200120554551,28.06,421.90000000000003
Andhra Pradesh,KURNOOL,2012,Rabi,18.51197053406998,28.06,117.5
Andhra Pradesh,KURNOOL,2013,Kharif,20.04698883764454,27.78,485.7
Andhra Pradesh,KURNOOL,2013,Rabi,29.066073102155578,27.78,140.0
Andhra Pradesh,KURNOOL,2014,Kharif,19.176979871670916,28.02,446.1
Andhra Pradesh,KURNOOL,2014,Rabi,23.8389662027833,28.02,126.2
Andhra Pradesh,PRAKASAM,2008,Kharif,16.8,27.89,295.3
Andhra Pradesh,PRAKASAM,2008,Rabi,9.608695652173912,27.89,636.0
Andhra Pradesh,PRAKASAM,2009,Kharif,16.192090395480225,28.43,297.20000000000005
Andhra Pradesh,PRAKASAM,2009,Rabi,25.39240506329114,28.43,293.6
Andhra Pradesh,PRAKASAM,2010,Kharif,19.858085808580856,28.25,614.0
Andhra Pradesh,PRAKASAM,2010,Rabi,13.05,28.25,522.6
Andhra Pradesh,PRAKASAM,2011,Kharif,14.411276948590382,27.81,273.09999999999997
Andhra Pradesh,PRAKASAM,2011,Rabi,25.5993265993266,27.81,249.6
Andhra Pradesh,PRAKASAM,2012,Kharif,19.09138840070299,28.06,381.59999999999997
Andhra Pradesh,PRAKASAM,2012,Rabi,22.0,28.06,456.7
Andhra Pradesh,PRAKASAM,2013,Kharif,18.83116883116883,27.78,502.2
Andhra Pradesh,PRAKASAM,2013,Rabi,18.52238805970149,27.78,439.8
Andhra Pradesh,PRAKASAM,2014,Kharif,18.35973597359736,28.02,262.6
Andhra Pradesh,PRAKASAM,2014,Rabi,17.666666666666668,28.02,201.1
Andhra Pradesh,SRIKAKULAM,2008,Kharif,16.81081081081081,27.89,734.9
Andhra Pradesh,SRIKAKULAM,2008,Rabi,8.888324873096447,27.89,192.7
Andhra Pradesh,SRIKAKULAM,2009,Kharif,16.2,28.43,623.1
Andhra Pradesh,SRIKAKULAM,2009,Rabi,25.356028368794327,28.43,218.0
Andhra Pradesh,SRIKAKULAM,2010,Kharif,19.85185185185185,28.25,849.8
Andhra Pradesh,SRIKAKULAM,2010,Rabi,15.031760435571687,28.25,674.9
Andhra Pradesh,SRIKAKULAM,2011,Kharif,14.4125,27.81,747.4000000000001
Andhra Pradesh,SRIKAKULAM,2011,Rabi,25.60054844606947,27.81,61.7
Andhra Pradesh,SRIKAKULAM,2012,Kharif,19.11111111111111,28.06,809.6999999999999
Andhra Pradesh,SRIKAKULAM,2012,Rabi,22.16042780748663,28.06,394.40000000000003
Andhra Pradesh,SRIKAKULAM,2013,Kharif,18.8125,27.78,628.0
Andhra Pradesh,SRIKAKULAM,2013,Rabi,18.51530612244898,27.78,701.0
Andhra Pradesh,SRIKAKULAM,2014,Kharif,18.25,28.02,805.8
Andhra Pradesh,SRIKAKULAM,2014,Rabi,17.66770670826833,28.02,264.59999999999997
Andhra Pradesh,VIZIANAGARAM,2008,Kharif,16.804651162790698,27.89,794.9
Andhra Pradesh,VIZIANAGARAM,2008,Rabi,9.626168224299066,27.89,168.7
Andhra Pradesh,VIZIANAGARAM,2009,Kharif,16.193939393939395,28.43,714.3
Andhra Pradesh,VIZIANAGARAM,2009,Rabi,25.392739273927393,28.43,256.3
Andhra Pradesh,VIZIANAGARAM,2010,Kharif,19.85635359116022,28.25,952.8
Andhra Pradesh,VIZIANAGARAM,2010,Rabi,13.057441253263708,28.25,560.7
Andhra Pradesh,VIZIANAGARAM,2011,Kharif,14.408333333333333,27.81,697.7
Andhra Pradesh,VIZIANAGARAM,2011,Rabi,25.600858369098713,27.81,121.6
Andhra Pradesh,VIZIANAGARAM,2012,Kharif,19.098039215686274,28.06,752.9000000000001
Andhra Pradesh,VIZIANAGARAM,2012,Rabi,22.00826446280992,28.06,457.2
Andhra Pradesh,VIZIANAGARAM,2013,Kharif,18.827956989247312,27.78,538.9
Andhra Pradesh,VIZIANAGARAM,2013,Rabi,18.51572327044025,27.78,400.00000000000006
Andhra Pradesh,VIZIANAGARAM,2014,Kharif,18.367088607594937,28.02,721.7
Andhra Pradesh,VIZIANAGARAM,2014,Rabi,17.668341708542712,28.02,327.4
Assam,BAKSA,2011,Whole Year,2.995575221238938,23.53,0.0
Assam,BAKSA,2012,Whole Year,3.2536585365853656,23.05,2749.0
Assam,BAKSA,2013,Whole Year,3.255813953488372,23.14,1488.1
Assam,BAKSA,2014,Whole Year,3.2666666666666666,23.52,1836.0
